리플XRP/BTC,"0.000137402,917?KRW",-6.40%,"20,084.85"
이더리움ETH/BTC,"0.094980002,016,425KRW",4.26%,"8,242.58"
스텔라루멘XLM/BTC,0.00004617980?KRW,-4.43%,"7,608.49"
시아코인SC/BTC,0.0000045396.17?KRW,-6.21%,"5,898.33"
에이다ADA/BTC,"0.000060291,280?KRW",-7.23%,"5,208.39"
버지XVG/BTC,0.00001077229?KRW,-5.86%,"3,995.26"
아이젝RLC/BTC,"0.000260015,520?KRW",-4.68%,"3,956.80"
비트코인캐시BCC/BTC,"0.190307314,040,224KRW",1.33%,"3,827.44"
아더ARDR/BTC,"0.000117392,492?KRW",12.51%,"1,868.55"
어거REP/BTC,"0.00738664156,818?KRW",-3.57%,"1,858.10"
네오NEO/BTC,"0.00949996201,684?KRW",6.50%,"1,798.70"
디지털노트XDN/BTC,0.0000043993.20?KRW,-6.20%,"1,759.68"
라이트코인LTC/BTC,"0.01725387366,300?KRW",1.49%,"1,639.38"
이더리움클래식ETC/BTC,"0.0027611958,620?KRW",6.61%,"1,439.11"
디지바이트DGB/BTC,0.00000715152?KRW,-3.38%,"1,366.92"
퀀텀QTUM/BTC,"0.0036800578,127?KRW",1.38%,"1,302.76"
파워렛저POWR/BTC,"0.000106522,261?KRW",-6.70%,"1,230.67"
오미세고OMG/BTC,"0.0016989936,070?KRW",3.90%,"1,171.97"
뉴이코노미무브먼트XEM/BTC,"0.000100272,129?KRW",-1.09%,"1,108.61"
지캐시ZEC/BTC,"0.048309011,025,600KRW",-3.96%,"1,074.90"
스테이터스네트워크토큰SNT/BTC,0.00003237687?KRW,-1.19%,"1,063.86"
비트센드BSD/BTC,"0.000122502,601?KRW",-5.32%,984.928
스트라티스STRAT/BTC,"0.0013307828,252?KRW",-0.69%,928.92
레드코인RDD/BTC,0.0000014330.36?KRW,1.42%,900.667
복셀VOX/BTC,0.00003791805?KRW,-5.13%,865.108
미스테리움MYST/BTC,"0.000214854,561?KRW",-7.20%,822.117
리스크LSK/BTC,"0.0020119942,715?KRW",-4.98%,800.506
도지코인DOGE/BTC,0.0000008718.47?KRW,-4.40%,776.483
베리코인VRC/BTC,"0.000168933,586?KRW",-1.64%,693.415
